book_name,author,language,physically_exists,status,notes
Şifreleme ve Şifre Çözme Yöntemleri,Nuri Ural and Ömer Örenç,Turkish,true,completed,
Flowers for Algernon,Daniel Keyes,Turkish,false,completed,it is impossible to not to cry
Martin Eden,Jack London,Turkish,false,completed,every men should read
Robinson Crusoe,Daniel Defoe,Azerbaijani,false,completed,
The Adventures of Tom Sawyer,Mark Twain,Azerbaijani,false,completed,
In Search of the Castaways,Jules Verne,Azerbaijani,false,completed,
Make Your Bed,William H. McRaven,English,false,completed,simple and inspiring
The Dance of Life: The New Science of How a Single Cell Becomes a Human Being,Magdalena Żernicka-Goetz and Roger Highfield,English,false,completed,i have never seen this kind of bulshit
White Fang,Jack London,Turkish,true,completed,something interesting
The Art of the Start 2.0,Guy Kawasaki,English,false,summarized,some bullshit about everyone already knows 20 thousand years ago
Confessions of an Economic Hit Man,John Perkins,English,true,completed,every one knows.but no one cares.just no one
The Alchemist, Paulo Coelho,Turkish,false,completed,"it is some kind of masterpiece, but most of people not aware"
Breakfast with Seneca,David R. Fideler,English,false,summarized,time wasting- Islam arounds all of them more than every stoic thoughts
Zero to One,Peter Thiel,English,false,summarized,something insightfull from america's powerfull gay billionaire
The ONE Thing,Gary Keller and Jay Papasan,English,false,summarized,it is actually can be implemented and not alike other bullshit motivation books
The Almanack Of Naval Ravikant,Eric Jorgenson,English,false,summarized,interesting and insightfull
The Winner Effect,Ian Robertson,English,false,summarized,every winner should aware of consequences of thinking himself as undefeatable
Writing to Learn,William Zinsser,English,false,summarized,it is explains how writing helps to organize our thoughts
Four Thousand Weeks,Oliver Burkeman,English,false,summarized, spare you limited time for most important things and live with JOMO
Lean Product Playbook,Dan Olsen,English,false,summarized,another hero trying to find order in jungle
Human Design,Ra Uru Hu,English,false,summarized,if you give pen and paper to crazy man this book will be written
Think and Grow Rich,Napoleon Hil,Turkish,false,completed,interesting book
12 Months to $1 Million,Ryan Moran,English,false,summarized,again bullshit from enterpreneur who wants to gain money from book
The Millionaire Fastlane,MJ DeMarco,English,false,summarized,basic classification of wealth gaining
Rich AF,Vivian Tu,English,false,summarized,personal finance management
Millionaire Mission,Brian Preston,English,false,summarized,another bullshit finance book
Million Dollar Weekend,Noah Kagan,English,false,summarized,startup framework and actually it is helpfull
Main Street Millionaire,Codie Sanchez,English,false,summarized,systematic approach to business
Smart Women Finish Rich,David Bach,English,false,summarized,not only for women
Money: Master the Game,Tony Robbins,English,false,summarized,simple but powerfull advices
Ovod,Ethel Lilian Voynich,Azerbaijani,false,summarized,just a drama
